Object,d (pc),-e_d (pc),+e_d (pc),Quality,Teff (K),e_Teff (K),R (Rsun),e_R (Rsun),LogL (Lsun),-e_LogL (Lsun),+e_LogL (Lsun),M (Msun),-e_M (Msun),+e_M (Msun)
PDS 281,867.79,9.11,9.31,0,16000,500,9.48,0.82,3.72,0.06,0.05,9,0.44,0.48
HD 94509,1608.62,43.01,45.44,0,12250,138,7.98,0.37,3.11,0.04,0.03,6.21,0.2,0.2
DG Cir,861.12,14.31,14.8,0,8750,215,5.04,0.6,2.13,0.11,0.09,3.43,0.26,0.35
HD 141926,1323.57,30.71,32.21,0,26000,500,9.84,0.66,4.6,0.05,0.05,16.91,0.88,1
HD 37806,397.07,4.27,4.36,0,10750,156,4.08,0.16,2.3,0.02,0.02,3.52,0.12,0.08
HD 38120,380.82,4.82,4.94,0,11500,125,2.11,0.06,1.85,0.02,0.02,2.8,0.04,0.04
HD 58647,302.21,2.3,2.34,0,10750,125,5.06,0.14,2.49,0.01,0.01,4.05,0.05,0.12
HD 95881,1098.03,23.3,24.34,0,9750,125,10.66,0.36,2.97,0.02,0.02,6.4,0.19,0.07
HD 97048,184.11,0.84,0.85,0,11000,125,2.22,0.06,1.81,0.01,0.01,2.8,0.03,0.03
HD 98922,643.56,8.47,8.7,0,10500,125,11.45,0.36,3.16,0.02,0.02,7.01,0.02,0.11
HD 100546,107.97,0.44,0.44,0,9250,125,1.83,0.05,1.34,0.01,0.01,2.1,0.03,0.05
HD 135344B,134.44,0.43,0.43,0,6250,125,1.92,0.08,0.71,0.01,0.01,1.46,0.04,0.07
HD 139614,133.1,0.48,0.48,0,7500,125,1.54,0.05,0.83,0.01,0.01,1.6,0,0.02
HD 142527,158.51,0.71,0.72,0,6750,125,3.46,0.13,1.35,0.01,0.01,2.2,0.05,0.05
HD 142666,145.52,0.46,0.46,0,7250,125,2.33,0.08,1.13,0.01,0.01,1.75,0,0.03
HD 144432,154.03,0.58,0.59,0,7750,125,2.23,0.08,1.21,0.01,0.01,1.82,0.01,0.03
HD 144668,157.79,0.84,0.85,0,8250,202,4.74,0.52,1.97,0.09,0.08,3.19,0.29,0.21
HD 145718,153.92,0.48,0.49,0,7500,125,2.05,0.11,1.08,0.04,0.03,1.71,0.02,0.04
HD 150193,150.02,0.47,0.48,0,9000,125,1.98,0.06,1.36,0.01,0.01,2.25,0.08,0
HD 158643,125.07,1.62,1.66,1,9500,125,4.93,0.15,2.25,0.01,0.01,3.6,0.02,0.07
HD 163296,100.57,0.41,0.41,0,8750,125,1.7,0.1,1.19,0.05,0.04,1.91,0,0.12
HD 169142,114.42,0.35,0.35,0,7250,125,1.51,0.05,0.76,0.01,0.01,1.55,0,0.03
HD 179218,257.95,2.17,2.21,0,9750,125,3.59,0.1,2.02,0.01,0.01,2.99,0.04,0.01
HD 190073,824.16,20.73,21.83,0,9750,125,9.68,0.44,2.88,0.03,0.03,6,0.21,0.2
HD 259431,640.04,10.98,11.37,0,12500,332,6.1,0.51,2.91,0.06,0.05,5.24,0.24,0.3
PDS 27,2531.94,153.78,175.05,1,15000,688,14.83,2.44,4,0.14,0.1,11.65,1.6,1.09
V1818 Ori,622.79,21.24,22.79,1,11500,125,5.43,0.67,2.67,0.12,0.09,4.54,0.46,0.37
V380 Ori,374.32,15.02,16.33,1,10250,246,3.11,1.1,1.98,0.53,0.23,2.8,0,0.6
MWC 349,1669.83,176.25,201.74,1,14000,900,66.87,15.68,5.19,0.22,0.14,36.19,8.05,8.78
AB Aur,155.01,0.89,0.9,0,9000,125,2.79,0.09,1.66,0.01,0.01,2.36,0.05,0.04
HD 31648,155.22,1.24,1.26,0,8000,125,2.13,0.07,1.22,0.01,0.01,1.85,0.01,0.04
CQ Tau,148.6,1.31,1.34,1,6750,125,1.88,0.07,0.82,0.01,0.01,1.5,0.01,0.01
T Ori,398.59,4.39,4.49,1,9250,242,2.9,0.37,1.75,0.12,0.09,2.44,0.15,0.18
MWC 297,407.79,4.94,5.06,0,26000,500,12.05,0.61,4.78,0.03,0.03,19.98,0.45,0.06
VV Ser,403.44,5.89,6.06,1,14000,709,2.43,0.54,2.31,0.22,0.15,3.61,0,0.49
MWC 1080,1424.3,58.76,64.04,0,28000,1735,9.03,1.72,4.66,0.15,0.11,17.97,2.03,1.91
UX Ori,319.83,2.89,2.94,1,8250,245,1.79,0.34,1.12,0.2,0.14,1.91,0,0.04
HD 36112,155.02,0.75,0.76,0,7250,125,1.87,0.07,0.94,0.01,0.01,1.64,0.04,0.06
Z CMa,639.94,154.26,290.71,1,8250,183,22.88,8.76,3.34,0.62,0.25,9.43,3.62,1.66
HD 141569,111.13,0.36,0.36,0,9750,125,1.75,0.05,1.4,0.01,0.01,2.12,0.01,0.04
HD 143006,166.38,0.5,0.51,0,5500,125,2.06,0.1,0.54,0.02,0.02,1.74,0.13,0.1
WW Vul,480.13,4.22,4.29,0,8500,125,2.33,0.16,1.41,0.06,0.05,2.04,0.05,0.06
V1685 Cyg,893.41,15.1,15.63,0,19000,500,6.52,0.36,3.7,0.02,0.02,8.33,0.2,0.28
V1977 Cyg,820.69,7.92,8.08,0,10750,125,5.14,0.13,2.5,0.01,0.01,4.13,0.1,0.07
V1578 Cyg,758.32,6.99,7.13,0,10250,344,4.75,0.84,2.35,0.17,0.12,3.78,0.56,0.42
HD 104237,106.49,0.48,0.49,0,7750,125,2.44,0.13,1.29,0.04,0.04,1.9,0.05,0.07
V921 Sco,1398.97,65.71,72.52,0,26000,946,14.31,2.09,4.93,0.13,0.1,23.47,3.45,1.11
